[ Info: File for first layer exists [2, 4], 10000000000000000; loading ...
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 1/1213, 1/47
[ Info: layer 2/2, base field no. 1/1213, 2/47
[ Info: layer 2/2, base field no. 1/1213, 3/47
[ Info: layer 2/2, base field no. 1/1213, 4/47
[ Info: layer 2/2, base field no. 1/1213, 5/47
[ Info: layer 2/2, base field no. 1/1213, 6/47
[ Info: layer 2/2, base field no. 1/1213, 7/47
[ Info: layer 2/2, base field no. 1/1213, 8/47
[ Info: layer 2/2, base field no. 1/1213, 9/47
[ Info: layer 2/2, base field no. 1/1213, 10/47
[ Info: layer 2/2, base field no. 1/1213, 11/47
[ Info: layer 2/2, base field no. 1/1213, 12/47
[ Info: layer 2/2, base field no. 1/1213, 13/47
[ Info: layer 2/2, base field no. 1/1213, 14/47
[ Info: layer 2/2, base field no. 1/1213, 15/47
[ Info: layer 2/2, base field no. 1/1213, 16/47
[ Info: layer 2/2, base field no. 1/1213, 17/47
[ Info: layer 2/2, base field no. 1/1213, 18/47
[ Info: layer 2/2, base field no. 1/1213, 19/47
[ Info: layer 2/2, base field no. 1/1213, 20/47
[ Info: layer 2/2, base field no. 1/1213, 21/47
[ Info: layer 2/2, base field no. 1/1213, 22/47
[ Info: layer 2/2, base field no. 1/1213, 23/47
[ Info: layer 2/2, base field no. 1/1213, 24/47
[ Info: layer 2/2, base field no. 1/1213, 25/47
[ Info: layer 2/2, base field no. 1/1213, 26/47
[ Info: layer 2/2, base field no. 1/1213, 27/47
[ Info: layer 2/2, base field no. 1/1213, 28/47
[ Info: layer 2/2, base field no. 1/1213, 29/47
[ Info: layer 2/2, base field no. 1/1213, 30/47
[ Info: layer 2/2, base field no. 1/1213, 31/47
[ Info: layer 2/2, base field no. 1/1213, 32/47
[ Info: layer 2/2, base field no. 1/1213, 33/47
[ Info: layer 2/2, base field no. 1/1213, 34/47
[ Info: layer 2/2, base field no. 1/1213, 35/47
[ Info: layer 2/2, base field no. 1/1213, 36/47
[ Info: layer 2/2, base field no. 1/1213, 37/47
[ Info: layer 2/2, base field no. 1/1213, 38/47
[ Info: layer 2/2, base field no. 1/1213, 39/47
[ Info: layer 2/2, base field no. 1/1213, 40/47
[ Info: layer 2/2, base field no. 1/1213, 41/47
[ Info: layer 2/2, base field no. 1/1213, 42/47
[ Info: layer 2/2, base field no. 1/1213, 43/47
[ Info: layer 2/2, base field no. 1/1213, 44/47
[ Info: layer 2/2, base field no. 1/1213, 45/47
[ Info: layer 2/2, base field no. 1/1213, 46/47
[ Info: layer 2/2, base field no. 1/1213, 47/47
