[ Info: 72_1: File for first layer exists [8], 27825594022072; loading ...
[ Info: 72_1: layer 2/2, base field no. 1/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 1/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 2/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 2/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 3/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 3/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 4/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 4/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 5/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 5/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 6/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 6/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 7/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 7/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 8/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 8/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 9/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 9/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 10/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 10/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 11/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 11/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 12/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 12/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 13/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 13/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 14/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 14/15, checking fields: 0
[ Info: 72_1: layer 2/2, base field no. 15/15, constructing abelian extensions
[ Info: 72_1: layer 2/2, base field no. 15/15, checking fields: 0
  5.592679 seconds (13.44 M allocations: 735.077 MiB, 82.82% compilation time: 5% of which was recompilation)
