[ Info: 80_43: File for first layer exists [2, 2, 4], 398107170553497250777006080; loading ...
[ Info: 80_43: layer 2/2, base field no. 1/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 1/48, checking fields: 1
[ Info: 80_43: layer 2/2, base field no. 1/48, 1/1
[ Info: 80_43: layer 2/2, base field no. 2/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 2/48, checking fields: 6
[ Info: 80_43: layer 2/2, base field no. 2/48, 1/6
[ Info: 80_43: layer 2/2, base field no. 2/48, 2/6
[ Info: 80_43: layer 2/2, base field no. 2/48, 3/6
[ Info: 80_43: layer 2/2, base field no. 2/48, 4/6
[ Info: 80_43: layer 2/2, base field no. 2/48, 5/6
[ Info: 80_43: layer 2/2, base field no. 2/48, 6/6
[ Info: 80_43: layer 2/2, base field no. 3/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 3/48, checking fields: 2
[ Info: 80_43: layer 2/2, base field no. 3/48, 1/2
[ Info: 80_43: layer 2/2, base field no. 3/48, 2/2
[ Info: 80_43: layer 2/2, base field no. 4/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 4/48, checking fields: 0
[ Info: 80_43: layer 2/2, base field no. 5/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 5/48, checking fields: 11
[ Info: 80_43: layer 2/2, base field no. 5/48, 1/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 2/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 3/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 4/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 5/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 6/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 7/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 8/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 9/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 10/11
[ Info: 80_43: layer 2/2, base field no. 5/48, 11/11
[ Info: 80_43: layer 2/2, base field no. 6/48, constructing abelian extensions
[ Info: 80_43: layer 2/2, base field no. 6/48, checking fields: 2
[ Info: 80_43: layer 2/2, base field no. 6/48, 1/2
[ Info: 80_43: layer 2/2, base field no. 6/48, 2/2
