[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 1/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 1/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 2/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 2/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 3/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 3/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 4/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 4/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 5/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 5/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 6/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 6/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 7/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 7/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 8/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 8/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 9/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 9/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 10/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 10/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 11/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 11/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 12/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 12/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 13/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 13/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 14/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 14/264, checking fields: 0
