[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 1/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 1/241, checking fields: 5
[ Info: 48_33: layer 2/3, base field no. 1/241, 1/5
[ Info: 48_33: layer 2/3, base field no. 1/241, 2/5
[ Info: 48_33: layer 2/3, base field no. 1/241, 3/5
[ Info: 48_33: layer 2/3, base field no. 1/241, 4/5
[ Info: 48_33: layer 2/3, base field no. 1/241, 5/5
[ Info: 48_33: layer 2/3, base field no. 2/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 2/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 2/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 3/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 3/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 3/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 4/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 4/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 4/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 5/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 5/241, checking fields: 6
[ Info: 48_33: layer 2/3, base field no. 5/241, 1/6
[ Info: 48_33: layer 2/3, base field no. 5/241, 2/6
[ Info: 48_33: layer 2/3, base field no. 5/241, 3/6
[ Info: 48_33: layer 2/3, base field no. 5/241, 4/6
[ Info: 48_33: layer 2/3, base field no. 5/241, 5/6
[ Info: 48_33: layer 2/3, base field no. 5/241, 6/6
[ Info: 48_33: layer 2/3, base field no. 6/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 6/241, checking fields: 6
[ Info: 48_33: layer 2/3, base field no. 6/241, 1/6
[ Info: 48_33: layer 2/3, base field no. 6/241, 2/6
[ Info: 48_33: layer 2/3, base field no. 6/241, 3/6
[ Info: 48_33: layer 2/3, base field no. 6/241, 4/6
[ Info: 48_33: layer 2/3, base field no. 6/241, 5/6
[ Info: 48_33: layer 2/3, base field no. 6/241, 6/6
