[ Info: 48_40: File for first layer exists [2, 2, 2], 46415888336128; loading ...
[ Info: 48_40: layer 2/2, base field no. 1/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 1/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 2/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 2/88, checking fields: 1
[ Info: 48_40: layer 2/2, base field no. 2/88, 1/1
[ Info: 48_40: layer 2/2, base field no. 3/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 3/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 4/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 4/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 5/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 5/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 6/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 6/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 7/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 7/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 8/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 8/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 9/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 9/88, checking fields: 1
[ Info: 48_40: layer 2/2, base field no. 9/88, 1/1
[ Info: 48_40: layer 2/2, base field no. 10/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 10/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 11/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 11/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 12/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 12/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 13/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 13/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 14/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 14/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 15/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 15/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 16/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 16/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 17/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 17/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 18/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 18/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 19/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 19/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 20/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 20/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 21/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 21/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 22/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 22/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 23/88, constructing abelian extensions
